benchmark,scenario,family,variant,resolution,hidden_dim,epochs,learning_rate,loss,optimizer,threshold,elapsed_seconds,sf_jaccard,pickle_path,metadata_path,tp,fp,fn,jaccard,precision,recall
tpc_ds_genai_spec,graph_SOR2_D1_seed42,VMamba-T,vmamba_t,16,16,2,0.001,weighted_bce,adamw,0.1,0.0014902919999999487,671.0094397608217,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/models/vmamba_t/VMambaT_graph_SOR2_D1_seed42_r16_h16_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/models/vmamba_t/VMambaT_graph_SOR2_D1_seed42_r16_h16_seed42.json,1,0,0,1.0,1.0,1.0
tpc_ds_genai_spec,graph_SOR2_D1_seed42,VMamba-Mesh-T,vmamba_mesh_t,16,16,2,0.001,weighted_bce,adamw,0.1,0.0015087499999999476,662.8003314001887,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D1_seed42_r16_h16_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D1_seed42_r16_h16_seed42.json,1,0,0,1.0,1.0,1.0
