campaign,report_path,algorithm,variant,device,hard_negative_strategy,hard_negative_manifest_id,jaccard,sf_jaccard,ET,accuracy,precision,recall,f1,tp,fp,fn,tn,N_pairs
cpu_spec_best,main/data/research_reports/20260604_001425_29426_563067000_vmamba_trainable_ablation,VMamba-T,vmamba_t,cpu,,,0.4814814814814814,200.57719917439695,0.1582924790000675,0.8187891440501044,0.5748930099857347,0.7476808905380334,0.6499999999999999,403,298,136,1558,2395
cpu_spec_best,main/data/research_reports/20260604_001425_29426_563067000_vmamba_trainable_ablation,VMamba-Mesh-T,vmamba_mesh_t,cpu,,,0.488268156424581,202.39371861089785,0.1678816875000279,0.808768267223382,0.5510718789407314,0.8107606679035251,0.6561561561561562,437,356,102,1500,2395
mps_structural_spec,main/data/research_reports/20260604_121036_40369_081531000_vmamba_trainable_ablation,VMamba-T (hardneg-mps-spec),vmamba_t,mps,,,0.4361471861471861,319.4615746905024,0.1429777915000158,0.7824634655532359,0.5114213197969543,0.7476808905380334,0.6073850791258478,403,385,136,1471,2395
mps_structural_spec,main/data/research_reports/20260604_121036_40369_081531000_vmamba_trainable_ablation,VMamba-Mesh-T (hardneg-mps-spec),vmamba_mesh_t,mps,,,0.4446620959843291,434.6901478493436,0.0891256250000007,0.7632567849686848,0.485042735042735,0.8423005565862709,0.6155932203389831,454,482,85,1374,2395
mps_llm_spec,main/data/research_reports/20260604_134510_42331_744213000_vmamba_trainable_ablation,VMamba-T (llmhardneg-mps-spec),vmamba_t,mps,structural_plus_llm_manifest,llm_hard_negatives_article_iv_20260604,0.4405436013590034,306.92581782996456,0.1503661045000086,0.7937369519832985,0.5306957708049114,0.7217068645640075,0.6116352201257862,389,344,150,1512,2395
mps_llm_spec,main/data/research_reports/20260604_134510_42331_744213000_vmamba_trainable_ablation,VMamba-Mesh-T (llmhardneg-mps-spec),vmamba_mesh_t,mps,structural_plus_llm_manifest,llm_hard_negatives_article_iv_20260604,0.4432432432432432,407.24371537634875,0.0894021659999975,0.7849686847599165,0.5150753768844221,0.7606679035250464,0.6142322097378277,410,386,129,1470,2395
mps_structural_full,main/data/research_reports/20260604_122205_40674_719225000_vmamba_trainable_ablation,VMamba-T (hardneg-mps-full),vmamba_t,mps,,,0.2905950816594706,868.2959229703853,0.306201916500008,0.9047990930847714,0.3105939004815409,0.8186144896879958,0.4503272727272728,1548,3436,343,34368,39695
mps_structural_full,main/data/research_reports/20260604_122205_40674_719225000_vmamba_trainable_ablation,VMamba-Mesh-T (hardneg-mps-full),vmamba_mesh_t,mps,,,0.2679986221150534,1375.3140074211874,0.1490800830000154,0.892933618843683,0.2844087004203984,0.8228450555261766,0.4227112197772343,1556,3915,335,33889,39695
