family,variant,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,learning_rate,loss,optimizer,dropout,drop_path_rate,weight_decay,hard_negative_mining,hard_negative_strategy,hard_negative_manifest_id,experiment_tag,algorithm,jaccard,sf_jaccard,ET,accuracy,precision,recall,f1,N_pairs,tp,fp,fn,tn,scenarios,runs
VMamba-T (llmhardneg-mps-spec),vmamba_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,True,structural_plus_llm_manifest,llm_hard_negatives_article_iv_20260604,llmhardneg-mps-spec,VMamba-T (llmhardneg-mps-spec),0.4405436013590034,306.92581782996456,0.15036610450000865,0.7937369519832985,0.5306957708049114,0.7217068645640075,0.6116352201257862,2395,389,344,150,1512,20,20
VMamba-Mesh-T (llmhardneg-mps-spec),vmamba_mesh_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,True,structural_plus_llm_manifest,llm_hard_negatives_article_iv_20260604,llmhardneg-mps-spec,VMamba-Mesh-T (llmhardneg-mps-spec),0.44324324324324327,407.24371537634875,0.08940216599999751,0.7849686847599165,0.5150753768844221,0.7606679035250464,0.6142322097378277,2395,410,386,129,1470,20,20
