left_algorithm,right_algorithm,scenarios,mean_delta_jaccard,mean_delta_jaccard_ci_low,mean_delta_jaccard_ci_high,mean_delta_sf_jaccard,mean_delta_sf_jaccard_ci_low,mean_delta_sf_jaccard_ci_high,wins_right_on_jaccard,wins_right_on_sf_jaccard
Vanilla VMamba graph-image proxy,VMamba-T,1,-0.034482896551724124,-0.034482896551724124,-0.034482896551724124,-1597.8870448034518,-1597.8870448034518,-1597.8870448034518,0,0
VMamba-Mesh Isomera adapter,VMamba-Mesh-T,1,-0.021146896551724137,-0.021146896551724137,-0.021146896551724137,-1338.1498941393131,-1338.1498941393131,-1338.1498941393131,0,0
VMamba-T,VMamba-Mesh-T,1,0.0,0.0,0.0,-16.488774335861308,-16.488774335861308,-16.488774335861308,0,0
