family,variant,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,learning_rate,loss,optimizer,dropout,drop_path_rate,weight_decay,algorithm,jaccard,sf_jaccard,ET,accuracy,precision,recall,f1,N_pairs,tp,fp,fn,tn,scenarios,runs
VMamba-T,vmamba_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,VMamba-T,0.21379310344827587,269.0403936668431,0.345673000000005,0.21379310344827587,0.21379310344827587,1.0,0.3522727272727273,435,93,342,0,0,1,1
VMamba-Mesh-T,vmamba_mesh_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,VMamba-Mesh-T,0.21379310344827587,262.0642304043039,0.35487483299999667,0.21379310344827587,0.21379310344827587,1.0,0.3522727272727273,435,93,342,0,0,1,1
