execution_device,report_dir,algorithm,jaccard,jaccard_ci_low,jaccard_ci_high,sf_jaccard,sf_jaccard_ci_low,sf_jaccard_ci_high,ET,accuracy,tp,fp,fn,tn,scenarios,runs,jaccard_pct
CPU,20260604_001425_29426_563067000_vmamba_trainable_ablation,VMamba-T,0.4814814814814814,0.4031496062992126,0.5577523413111343,200.57719917439695,150.86303721585472,257.5701326042683,0.1582924790000675,0.8187891440501044,403,298,136,1558,20,20,48.14814814814814
CPU,20260604_001425_29426_563067000_vmamba_trainable_ablation,VMamba-Mesh-T,0.488268156424581,0.4018691588785046,0.5669599217986315,202.39371861089785,151.85729870143084,263.0323522673535,0.1678816875000279,0.808768267223382,437,356,102,1500,20,20,48.8268156424581
MPS,20260604_105532_38014_502849000_vmamba_trainable_ablation,VMamba-T,0.4722222222222222,0.38403451995685,0.5509989484752892,150.85074376240385,102.04341062726836,210.90447436584097,0.2088024585000099,0.8254697286012526,374,253,165,1603,20,20,47.22222222222222
MPS,20260604_105532_38014_502849000_vmamba_trainable_ablation,VMamba-Mesh-T,0.4161378059836809,0.328381548084441,0.5248730964467005,143.67118347122118,100.47491746761844,196.11533427412715,0.2194126875000108,0.731106471816284,459,564,80,1292,20,20,41.61378059836809
