config_id,strategy_key,strategy_label,model_family,balance_strategy,loss_name,negative_ratio,learning_rate,hidden_channels,dropout,threshold,optimizer,screening_epochs,full_validation_epochs,train_ratio,seed,stage,scenario,model_path,cached,training_wall_seconds,accuracy,jaccard,sf_jaccard,sf_accuracy,ET,N_pairs,tp,fp,fn,tn
weighted_bce_lr0p001_h16_d0p0_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.6,adam,5,5,0.8,42,screening,graph_SOR4_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p6/graph_SOR4_D5_seed42.pkl,False,0.954298,0.8,0.0,0.0,2395.465963,0.063453,190,0,0,38,152
weighted_bce_lr0p001_h16_d0p0_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.6,adam,5,5,0.8,42,screening,graph_SOR8_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p6/graph_SOR8_D5_seed42.pkl,False,2.419318,0.754023,0.08547,153.791902,1356.762768,0.241752,435,10,24,83,318
weighted_bce_lr0p001_h16_d0p0_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.6,adam,5,5,0.8,42,screening,graph_SOR16_D3_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p6/graph_SOR16_D3_seed42.pkl,False,0.730361,0.784314,0.0,0.0,2480.692819,0.048374,153,0,0,33,120
weighted_bce_lr0p001_h16_d0p0_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.6,adam,5,5,0.8,42,screening,graph_SOR16_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p6/graph_SOR16_D5_seed42.pkl,False,1.7007,0.786207,0.0,0.0,2339.427974,0.14619,435,0,0,93,342
weighted_bce_lr0p001_h16_d0p1_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.4,adam,5,5,0.8,42,screening,graph_SOR2_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p4/graph_SOR2_D5_seed42.pkl,False,0.17902,0.288889,0.288889,871.216333,871.216333,0.014922,45,13,32,0,0
weighted_bce_lr0p001_h16_d0p1_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.4,adam,5,5,0.8,42,screening,graph_SOR4_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p4/graph_SOR4_D5_seed42.pkl,False,0.785894,0.2,0.2,734.376389,734.376389,0.051745,190,38,152,0,0
weighted_bce_lr0p001_h16_d0p1_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.4,adam,5,5,0.8,42,screening,graph_SOR8_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p4/graph_SOR8_D5_seed42.pkl,False,2.05574,0.22069,0.215278,607.741725,623.019771,0.154088,435,93,339,0,3
weighted_bce_lr0p001_h16_d0p1_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.4,adam,5,5,0.8,42,screening,graph_SOR16_D3_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p4/graph_SOR16_D3_seed42.pkl,False,0.906255,0.215686,0.215686,526.807653,526.807653,0.062641,153,33,120,0,0
weighted_bce_lr0p001_h16_d0p1_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.4,adam,5,5,0.8,42,screening,graph_SOR16_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p4/graph_SOR16_D5_seed42.pkl,False,2.27542,0.213793,0.213793,718.562874,718.562874,0.129425,435,93,342,0,0
weighted_bce_lr0p001_h16_d0p1_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.5,adam,5,5,0.8,42,screening,graph_SOR2_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p5/graph_SOR2_D5_seed42.pkl,False,0.20675,0.666667,0.117647,358.922208,2033.892514,0.01475,45,2,4,11,28
