run,model,algorithm,jaccard,sf_jaccard,ET,accuracy,precision,recall,f1,tp,fp,fn,tn,scenarios
full_cpu_best,VMamba-T,VMamba-T,0.3326399394856278,590.3390198347539,0.4958529580001141,0.9110971155057312,0.341155934833204,0.9301956636700158,0.4992195260394493,1759,3397,132,34407,20
full_cpu_best,VMamba-Mesh-T,VMamba-Mesh-T,0.3333333333333333,622.4219728251,0.527069270499851,0.9108703866985768,0.3411764705882353,0.935483870967742,0.5,1769,3416,122,34388,20
full_mps_hardneg_batched,VMamba-T (hardneg-mps-full),VMamba-T (hardneg-mps-full),0.2905950816594706,868.2959229703853,0.306201916500008,0.9047990930847714,0.3105939004815409,0.8186144896879958,0.4503272727272728,1548,3436,343,34368,20
full_mps_hardneg_batched,VMamba-Mesh-T (hardneg-mps-full),VMamba-Mesh-T (hardneg-mps-full),0.2679986221150534,1375.3140074211874,0.1490800830000154,0.892933618843683,0.2844087004203984,0.8228450555261766,0.4227112197772343,1556,3915,335,33889,20
