family,variant,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,learning_rate,loss,optimizer,dropout,drop_path_rate,weight_decay,hard_negative_mining,experiment_tag,algorithm,jaccard,sf_jaccard,ET,accuracy,precision,recall,f1,N_pairs,tp,fp,fn,tn,scenarios,runs
VMamba-T (hardneg-mps-full),vmamba_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,True,hardneg-mps-full,VMamba-T (hardneg-mps-full),0.2905950816594706,868.2959229703853,0.30620191650000805,0.9047990930847714,0.31059390048154095,0.8186144896879958,0.4503272727272728,39695,1548,3436,343,34368,20,20
VMamba-Mesh-T (hardneg-mps-full),vmamba_mesh_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,True,hardneg-mps-full,VMamba-Mesh-T (hardneg-mps-full),0.2679986221150534,1375.3140074211874,0.1490800830000154,0.892933618843683,0.28440870042039845,0.8228450555261766,0.42271121977723436,39695,1556,3915,335,33889,20,20
