benchmark,scenario,family,variant,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,learning_rate,loss,optimizer,dropout,drop_path_rate,weight_decay,threshold,candidate_pairs,elapsed_seconds,sf_jaccard,tp_per_second,pickle_path,metadata_path,tp,fp,fn,jaccard,precision,recall
tpc_ds_genai_spec_v2,graph_SOR16_D1_seed42,VMamba-T,vmamba_t,small,16,2,2-2-4-2,64-128-256-512,256,256,1,0.001,weighted_bce,adamw,0.1,0.1,0.05,0.1,15,0.173207208,17.32029535399012,17.32029535399012,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR16_D1_seed42_small_r16_d2-2-4-2_w64-128-256-512_lossweighted_bce_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR16_D1_seed42_small_r16_d2-2-4-2_w64-128-256-512_lossweighted_bce_seed42.json,3,12,0,0.2,0.2,1.0
tpc_ds_genai_spec_v2,graph_SOR16_D1_seed42,VMamba-Mesh-T,vmamba_mesh_t,small,16,2,2-2-4-2,64-128-256-512,256,256,1,0.001,weighted_bce,adamw,0.1,0.1,0.05,0.1,15,0.15616308400000012,19.210686182401457,19.210686182401457,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR16_D1_seed42_small_r16_d2-2-4-2_w64-128-256-512_lossweighted_bce_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR16_D1_seed42_small_r16_d2-2-4-2_w64-128-256-512_lossweighted_bce_seed42.json,3,12,0,0.2,0.2,1.0
