benchmark,scenario,family,variant,resolution,hidden_dim,epochs,learning_rate,loss,optimizer,threshold,elapsed_seconds,sf_jaccard,pickle_path,metadata_path,tp,fp,fn,jaccard,precision,recall
tpc_ds_genai_spec,graph_SOR16_D1_seed42,VMamba-T,vmamba_t,16,16,2,0.001,weighted_bce,adamw,0.1,0.0034075000000000077,58.69405722670567,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/models/vmamba_t/VMambaT_graph_SOR16_D1_seed42_r16_h16_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/models/vmamba_t/VMambaT_graph_SOR16_D1_seed42_r16_h16_seed42.json,3,12,0,0.2,0.2,1.0
tpc_ds_genai_spec,graph_SOR16_D1_seed42,VMamba-Mesh-T,vmamba_mesh_t,16,16,2,0.001,weighted_bce,adamw,0.1,0.004544667000000002,44.00762476106608,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/models/vmamba_mesh_t/VMambaMeshT_graph_SOR16_D1_seed42_r16_h16_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/models/vmamba_mesh_t/VMambaMeshT_graph_SOR16_D1_seed42_r16_h16_seed42.json,3,12,0,0.2,0.2,1.0
