family,variant,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,learning_rate,loss,optimizer,dropout,drop_path_rate,weight_decay,algorithm,jaccard,sf_jaccard,ET,accuracy,precision,recall,f1,N_pairs,tp,fp,fn,tn,scenarios,runs
VMamba-T,vmamba_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,3,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,VMamba-T,0.23774308408655162,353.0416897564727,0.7140904580000011,0.8597808288197506,0.24289911851126347,0.9180327868852459,0.38415578667846867,39695,1736,5411,155,32393,20,20
VMamba-Mesh-T,vmamba_mesh_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,3,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,VMamba-Mesh-T,0.19954493742889648,348.400301187914,0.5825808954999872,0.8227484569845068,0.2027042644169652,0.9275515600211528,0.33270106221547796,39695,1754,6899,137,30905,20,20
