family,variant,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,learning_rate,loss,optimizer,dropout,drop_path_rate,weight_decay,algorithm,jaccard,sf_jaccard,ET,accuracy,precision,recall,f1,N_pairs,tp,fp,fn,tn,scenarios,runs
VMamba-T,vmamba_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,3,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,VMamba-T,0.28642220019821607,1016.2630744582915,2.942395375000018,0.9310344827586207,0.29221435793731043,0.9352750809061489,0.4453004622496149,10440,289,700,20,9431,1,1
VMamba-Mesh-T,vmamba_mesh_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,3,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,VMamba-Mesh-T,0.23462214411247803,875.5423770729313,2.797643208000011,0.9165708812260537,0.24361313868613138,0.8640776699029126,0.38007117437722415,10440,267,829,42,9302,1,1
