family,variant,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,learning_rate,loss,optimizer,dropout,drop_path_rate,weight_decay,algorithm,jaccard,sf_jaccard,ET,accuracy,precision,recall,f1,N_pairs,tp,fp,fn,tn,scenarios,runs
VMamba-T,vmamba_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,VMamba-T,0.6306306306306306,494.909814669919,0.5542915420000014,0.9057471264367816,0.7954545454545454,0.7526881720430108,0.7734806629834253,435,70,18,23,324,1,1
VMamba-Mesh-T,vmamba_mesh_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,VMamba-Mesh-T,0.6956521739130435,568.9357422920422,0.5318855419999977,0.9195402298850575,0.7843137254901961,0.8602150537634409,0.8205128205128205,435,80,22,13,320,1,1
