family,variant,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,learning_rate,loss,optimizer,dropout,drop_path_rate,weight_decay,hard_negative_mining,experiment_tag,algorithm,jaccard,sf_jaccard,ET,accuracy,precision,recall,f1,N_pairs,tp,fp,fn,tn,scenarios,runs
VMamba-T (hardneg-mps-spec),vmamba_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,True,hardneg-mps-spec,VMamba-T (hardneg-mps-spec),0.43614718614718617,319.4615746905024,0.1429777915000158,0.7824634655532359,0.5114213197969543,0.7476808905380334,0.6073850791258478,2395,403,385,136,1471,20,20
VMamba-Mesh-T (hardneg-mps-spec),vmamba_mesh_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,True,hardneg-mps-spec,VMamba-Mesh-T (hardneg-mps-spec),0.4446620959843291,434.6901478493436,0.08912562500000071,0.7632567849686848,0.48504273504273504,0.8423005565862709,0.6155932203389831,2395,454,482,85,1374,20,20
