scenario,algorithm,artifact_path,artifact_role,route_mode,route_source,inference_threshold,accuracy,jaccard,sf_jaccard,sf_accuracy,ET,median_execution_time,N_pairs,tp,fp,fn,tn,precision,recall,f1,runs,benchmark,family,variant,channel_contract,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,learning_rate,loss,optimizer,dropout,drop_path_rate,weight_decay,threshold,candidate_pairs,elapsed_seconds,tp_per_second,pickle_path,metadata_path
graph_SOR2_D2_seed42,GNN GenAI SPEC Protocol rank 1,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank1_weighted_bce_lr0p005_h16_d0p1_t0p5/GNN_tpcds_genai_spec_protocol_rank1_graph_SOR2_D2_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.5,0.939394,0.0,0.0,34358.147918,0.001805,0.001805,66,0,0,4,62,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D2_seed42,GNN GenAI SPEC Protocol rank 2,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank2_weighted_bce_lr0p001_h16_d0p0_t0p4/GNN_tpcds_genai_spec_protocol_rank2_graph_SOR2_D2_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.4,0.909091,0.25,7936.7466,28860.896727,0.002079,0.002079,66,2,4,2,58,0.333333,0.5,0.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D2_seed42,GNN GenAI SPEC Protocol rank 3,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank3_weighted_bce_lr0p005_h16_d0p1_t0p4/GNN_tpcds_genai_spec_protocol_rank3_graph_SOR2_D2_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.4,0.909091,0.25,8716.226507,31695.369117,0.001893,0.001893,66,2,4,2,58,0.333333,0.5,0.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D2_seed42,GNN GenAI SPEC Protocol rank 4,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank4_weighted_bce_lr0p001_h16_d0p1_t0p4/GNN_tpcds_genai_spec_protocol_rank4_graph_SOR2_D2_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.4,0.909091,0.25,9373.889596,34086.871259,0.00176,0.00176,66,2,4,2,58,0.333333,0.5,0.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D2_seed42,GNN GenAI SPEC Protocol rank 5,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank5_weighted_bce_lr0p001_h16_d0p1_t0p5/GNN_tpcds_genai_spec_protocol_rank5_graph_SOR2_D2_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.5,0.909091,0.25,9444.424477,34343.361736,0.001747,0.001747,66,2,4,2,58,0.333333,0.5,0.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D3_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.0,0.771242,0.166667,6153.50614,28475.048023,0.004144,0.004144,153,7,33,2,111,0.175,0.777778,0.285714,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D3_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.0,0.771242,0.166667,5806.149088,26867.670292,0.004392,0.004392,153,7,33,2,111,0.175,0.777778,0.285714,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D3_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR2_D3_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.5,0.941176,0.0,0.0,24018.514204,0.005995,0.005995,153,0,0,9,144,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D3_seed42,GNN GenAI SPEC v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/models/GNN_tpcds_genai_spec_graph_SOR2_D3_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.3,0.843137,0.111111,2579.201396,19571.587065,0.006591,0.006591,153,3,18,6,126,0.142857,0.333333,0.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D3_seed42,GNN GenAI SPEC Protocol rank 1,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank1_weighted_bce_lr0p005_h16_d0p1_t0p5/GNN_tpcds_genai_spec_protocol_rank1_graph_SOR2_D3_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.5,0.843137,0.111111,2343.608584,17783.853373,0.007254,0.007254,153,3,18,6,126,0.142857,0.333333,0.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D3_seed42,GNN GenAI SPEC Protocol rank 2,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank2_weighted_bce_lr0p001_h16_d0p0_t0p4/GNN_tpcds_genai_spec_protocol_rank2_graph_SOR2_D3_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.4,0.843137,0.111111,2057.665099,15614.046926,0.008262,0.008262,153,3,18,6,126,0.142857,0.333333,0.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D3_seed42,GNN GenAI SPEC Protocol rank 3,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank3_weighted_bce_lr0p005_h16_d0p1_t0p4/GNN_tpcds_genai_spec_protocol_rank3_graph_SOR2_D3_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.4,0.843137,0.111111,2070.099163,15708.399531,0.008212,0.008212,153,3,18,6,126,0.142857,0.333333,0.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D3_seed42,GNN GenAI SPEC Protocol rank 4,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank4_weighted_bce_lr0p001_h16_d0p1_t0p4/GNN_tpcds_genai_spec_protocol_rank4_graph_SOR2_D3_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.4,0.843137,0.111111,1854.920658,14075.574408,0.009165,0.009165,153,3,18,6,126,0.142857,0.333333,0.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D3_seed42,GNN GenAI SPEC Protocol rank 5,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank5_weighted_bce_lr0p001_h16_d0p1_t0p5/GNN_tpcds_genai_spec_protocol_rank5_graph_SOR2_D3_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.5,0.843137,0.111111,1576.4217,11962.25878,0.010784,0.010784,153,3,18,6,126,0.142857,0.333333,0.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D4_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.0,0.742754,0.154762,2639.634256,12668.478787,0.016182,0.016182,276,13,71,0,192,0.154762,1.0,0.268041,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D4_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.0,0.742754,0.154762,2015.577503,9673.423802,0.021192,0.021192,276,13,71,0,192,0.154762,1.0,0.268041,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D4_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR2_D4_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.5,0.952899,0.0,0.0,9698.72068,0.027117,0.027117,276,0,0,13,263,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
