model,phase,device_requested,device_resolved,train_batch_size,inference_batch_size,batched_inference,elapsed_seconds,epochs,jaccard,sf_jaccard,tp,fp,fn,artifact
GNN/GIN,train,cpu,cpu,1,,,0.8462515829999999,1,,,,,,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112826_39215_760070000_batched_execution_probe/models/gnn_cpu_trainb1.pkl
GNN/GIN,inference,cpu,cpu,1,1,False,0.003733832999999853,1,0.06666666666666667,267.8212978459506,1,14,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112826_39215_760070000_batched_execution_probe/models/gnn_cpu_trainb1.pkl
GNN/GIN,inference,cpu,cpu,1,16,True,0.0007919170000001419,1,0.06666666666666667,1262.758597175993,1,14,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112826_39215_760070000_batched_execution_probe/models/gnn_cpu_trainb1.pkl
GNN/GIN,train,cpu,cpu,4,,,0.0066613750000001914,1,,,,,,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112826_39215_760070000_batched_execution_probe/models/gnn_cpu_trainb4.pkl
GNN/GIN,inference,cpu,cpu,4,1,False,0.0027765829999999436,1,0.06666666666666667,360.15490982982334,1,14,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112826_39215_760070000_batched_execution_probe/models/gnn_cpu_trainb4.pkl
GNN/GIN,inference,cpu,cpu,4,16,True,0.0007649170000001426,1,0.06666666666666667,1307.3313836662194,1,14,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112826_39215_760070000_batched_execution_probe/models/gnn_cpu_trainb4.pkl
VMamba-T,train,cpu,cpu,1,,,0.057683624999999905,1,,,,,,in_memory
VMamba-T,inference,cpu,cpu,1,1,False,0.00936625000000002,1,1.0,1601.4947284131822,1,0,0,in_memory
VMamba-T,inference,cpu,cpu,1,16,True,0.009046458000000035,1,1.0,1658.1075156707677,1,0,0,in_memory
VMamba-T,train,cpu,cpu,4,,,0.03780879200000009,1,,,,,,in_memory
VMamba-T,inference,cpu,cpu,4,1,False,0.009211166999999909,1,1.0,1628.4581530223204,1,0,0,in_memory
VMamba-T,inference,cpu,cpu,4,16,True,0.008988084000000063,1,1.0,1668.8762588333504,1,0,0,in_memory
VMamba-Mesh-T,train,cpu,cpu,1,,,0.03699754100000008,1,,,,,,in_memory
VMamba-Mesh-T,inference,cpu,cpu,1,1,False,0.009218708000000131,1,1.0,1627.1260571437763,1,0,0,in_memory
VMamba-Mesh-T,inference,cpu,cpu,1,16,True,0.0089422090000002,1,1.0,1677.4378679809054,1,0,0,in_memory
VMamba-Mesh-T,train,cpu,cpu,4,,,0.03707616700000016,1,,,,,,in_memory
VMamba-Mesh-T,inference,cpu,cpu,4,1,False,0.009197458000000047,1,1.0,1630.8854033364353,1,0,0,in_memory
VMamba-Mesh-T,inference,cpu,cpu,4,16,True,0.008786375000000124,1,1.0,1707.1886870296098,1,0,0,in_memory
