family,variant,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,learning_rate,loss,optimizer,dropout,drop_path_rate,weight_decay,hard_negative_mining,hard_negative_strategy,hard_negative_manifest_id,false_positive_replay_rounds,threshold_policy,threshold_precision_floor,experiment_tag,algorithm,jaccard,sf_jaccard,ET,accuracy,precision,recall,f1,N_pairs,tp,fp,fn,tn,scenarios,runs
VMamba-T (v3-smoke),vmamba_t,tiny,16,2,1-1-2-1,32-64-128-256,128,128,2,8,0.001,weighted_bce,adamw,0.1,0.05,0.05,True,structural_similarity,,1,precision_guard,0.55,v3-smoke,VMamba-T (v3-smoke),0.2,267.44024649432544,0.01121745900000004,0.2,0.2,1.0,0.33333333333333337,15,3,12,0,0,1,1
VMamba-Mesh-T (v3-smoke),vmamba_mesh_t,tiny,16,2,1-1-2-1,32-64-128-256,128,128,2,8,0.001,weighted_bce,adamw,0.1,0.05,0.05,True,structural_similarity,,1,precision_guard,0.55,v3-smoke,VMamba-Mesh-T (v3-smoke),0.21428571428571427,274.8966034459866,0.011692707999999996,0.26666666666666666,0.21428571428571427,1.0,0.35294117647058826,15,3,11,0,1,1,1
