algorithm,ci_level,ci_unit,jaccard_ci_low,jaccard_ci_high,sf_jaccard_ci_low,sf_jaccard_ci_high,ET_ci_low,ET_ci_high,accuracy_ci_low,accuracy_ci_high
VF2,0.95,scenario bootstrap,0.05127628977170592,0.12088728507747824,1989.1730472500003,6433.274268099997,0.015266499999999999,0.1513305,0.6169867848641549,0.6840513686525547
Node Match,0.95,scenario bootstrap,0.05440609187916437,0.14077436214840794,2339.8889754,5397.629903349999,0.01603,0.138985,0.6530492112079115,0.7416771675948132
GNN TPC-DS v1 cluster,0.95,scenario bootstrap,0.0006131207847946045,0.08781061114842176,165.3567456,2776.6498275,0.0158485,0.1264715,0.913860909346282,0.9568561143231156
GNN GenAI SPEC v1 cluster,0.95,scenario bootstrap,0.12752174717749398,0.18309419837804117,2782.9087045,4571.767265249999,0.015708,0.158039,0.8427824847573047,0.8944345467599117
GNN GenAI SPEC Protocol rank 1,0.95,scenario bootstrap,0.09567585972080354,0.17169583584791792,1687.09728125,4694.09151155,0.015014,0.153758,0.8630306584563255,0.9338137739717767
GNN GenAI SPEC Protocol rank 2,0.95,scenario bootstrap,0.12752174717749398,0.18579530110721038,2752.5741167999995,4894.69539495,0.015571499999999999,0.152119,0.8535767220532022,0.894667918021695
GNN GenAI SPEC Protocol rank 3,0.95,scenario bootstrap,0.12752174717749398,0.18309419837804117,2738.2834192,5122.4724108,0.015529,0.158255,0.8427824847573047,0.8944345467599117
GNN GenAI SPEC Protocol rank 4,0.95,scenario bootstrap,0.12752174717749398,0.18693162681037387,2677.0873287,4514.75103185,0.015771,0.159172,0.8530318602261048,0.894594925848756
GNN GenAI SPEC Protocol rank 5,0.95,scenario bootstrap,0.1215519854501364,0.17207610520425293,2230.4290060000008,4927.5848757,0.014705,0.135664,0.891611072770493,0.9337888836783458
GNN Best-of-all cluster selector,0.95,scenario bootstrap,0.13169383003492433,0.19039765438885833,3176.3704926,5869.418151849999,0.015383,0.12154300000000001,0.8581027318539475,0.9051419192347964
Vanilla VMamba graph-image proxy,0.95,scenario bootstrap,0.07847702526878039,0.1914486279514997,3799.95441365,7196.0508642,0.013441999999999999,0.104654,0.5907987803613284,0.7267323187108325
VMamba-Mesh Isomera adapter,0.95,scenario bootstrap,0.06369121075003428,0.15779141104294478,3686.146805850001,7365.449890050001,0.014458,0.105969,0.580952380952381,0.7130961026385862
VMamba-T,0.95,scenario bootstrap,0.3387599584343609,0.40331010452961674,139.0553453862552,237.10559622882846,0.07616483349998049,0.230558791500016,0.41712328767123286,0.5160883280757098
VMamba-Mesh-T,0.95,scenario bootstrap,0.33396155295891444,0.3982218062704726,127.23537732181535,223.74214856944928,0.08544683350000781,0.23257487499995477,0.403630539241858,0.5102239532619279
