family,variant,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,learning_rate,loss,optimizer,dropout,drop_path_rate,weight_decay,algorithm,jaccard,sf_jaccard,ET,accuracy,precision,recall,f1,N_pairs,tp,fp,fn,tn,scenarios,runs
VMamba-T,vmamba_t,tiny,16,2,1-1-2-1,32-64-128-256,128,128,1,8,0.001,weighted_bce,adamw,0.1,0.05,0.05,VMamba-T,1.0,22.257256627972065,0.04492916699999938,1.0,1.0,1.0,1.0,1,1,0,0,0,1,1
VMamba-Mesh-T,vmamba_mesh_t,tiny,16,2,1-1-2-1,32-64-128-256,128,128,1,8,0.001,weighted_bce,adamw,0.1,0.05,0.05,VMamba-Mesh-T,1.0,25.479816800117064,0.03924675000000022,1.0,1.0,1.0,1.0,1,1,0,0,0,1,1
