family,variant,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,learning_rate,loss,optimizer,dropout,drop_path_rate,weight_decay,algorithm,jaccard,sf_jaccard,ET,accuracy,precision,recall,f1,N_pairs,tp,fp,fn,tn,scenarios,runs
VMamba-T,vmamba_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,VMamba-T,0.48148148148148145,200.57719917439698,0.1582924790000675,0.8187891440501044,0.5748930099857347,0.7476808905380334,0.6499999999999999,2395,403,298,136,1558,20,20
VMamba-Mesh-T,vmamba_mesh_t,article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,0.001,weighted_bce,adamw,0.1,0.15,0.05,VMamba-Mesh-T,0.488268156424581,202.39371861089782,0.16788168750002797,0.808768267223382,0.5510718789407314,0.8107606679035251,0.6561561561561562,2395,437,356,102,1500,20,20
