benchmark,scenario,family,variant,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,learning_rate,loss,optimizer,dropout,drop_path_rate,weight_decay,threshold,candidate_pairs,elapsed_seconds,sf_jaccard,tp_per_second,pickle_path,metadata_path,tp,fp,fn,jaccard,precision,recall
tpc_ds_genai_spec_v2,graph_SOR2_D1_seed42,VMamba-T,vmamba_t,tiny,16,2,1-1-2-1,32-64-128-256,128,128,1,0.001,weighted_bce,adamw,0.1,0.05,0.05,0.1,1,0.021041458000000013,47.525223774892375,47.525223774892375,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D1_seed42_tiny_r16_d1-1-2-1_w32-64-128-256_lossweighted_bce_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D1_seed42_tiny_r16_d1-1-2-1_w32-64-128-256_lossweighted_bce_seed42.json,1,0,0,1.0,1.0,1.0
tpc_ds_genai_spec_v2,graph_SOR2_D1_seed42,VMamba-Mesh-T,vmamba_mesh_t,tiny,16,2,1-1-2-1,32-64-128-256,128,128,1,0.001,weighted_bce,adamw,0.1,0.05,0.05,0.1,1,0.019933125000000107,50.16774840874146,50.16774840874146,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D1_seed42_tiny_r16_d1-1-2-1_w32-64-128-256_lossweighted_bce_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D1_seed42_tiny_r16_d1-1-2-1_w32-64-128-256_lossweighted_bce_seed42.json,1,0,0,1.0,1.0,1.0
