stage,input,output,details
source,tpc_ds_genai_sot_spec,20 GML scenarios,Combined SOT and SPEC benchmark that merges default SOT positives with GenAI SPEC positives.
normalized graph,GML + node layer metadata,NetworkX directed graph,Edges and nodes are evaluated under the selected candidate scope.
validation dataset,real_pairs JSON,1891 positives inside 11210 candidates,Pairs outside the selected candidate scope are excluded from metric denominators.
model routing,scenario name + cluster map,pickle path per scenario,Best-of-all is post-hoc diagnostic routing when enabled.
benchmark execution,detector families,10 family rows,10 runs per detector family per scenario.
