family,variant,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,learning_rate,loss,optimizer,dropout,drop_path_rate,weight_decay,hard_negative_mining,experiment_tag,algorithm,jaccard,sf_jaccard,ET,accuracy,precision,recall,f1,N_pairs,tp,fp,fn,tn,scenarios,runs
VMamba-T (hardneg-smoke),vmamba_t,tiny,16,2,1-1-2-1,32-64-128-256,128,128,1,4,0.001,weighted_bce,adamw,0.1,0.05,0.05,True,hardneg-smoke,VMamba-T (hardneg-smoke),1.0,131.1031292612596,0.007627583000000104,1.0,1.0,1.0,1.0,1,1,0,0,0,1,1
VMamba-Mesh-T (hardneg-smoke),vmamba_mesh_t,tiny,16,2,1-1-2-1,32-64-128-256,128,128,1,4,0.001,weighted_bce,adamw,0.1,0.05,0.05,True,hardneg-smoke,VMamba-Mesh-T (hardneg-smoke),1.0,127.89019041314452,0.007819208000000133,1.0,1.0,1.0,1.0,1,1,0,0,0,1,1
